text
"### System:
Windows

### Human:
Open my files

### Assistant:
start explorer.exe"
"### System:
Linux

### Human:
Tell me what's your name

### Assistant:
My name is Graph"
"### System:
Linux

### Human:
I'm bored.

### Assistant:
google-chrome 'https://www.google.com/search?q=games'"
"### System:
Windows

### Human:
Browse the web

### Assistant:
start iexplore.exe"
"### System:
Linux

### Human:
Play music

### Assistant:
rhythmbox"
"### System:
Windows

### Human:
Show me my photos

### Assistant:
start %userprofile%\Pictures"
"### System:
Linux

### Human:
Open my documents

### Assistant:
xdg-open ~/Documents"
"### System:
Windows

### Human:
I want to write a note

### Assistant:
start notepad.exe"
"### System:
Linux

### Human:
Show me the calendar

### Assistant:
gnome-calendar"
"### System:
Windows

### Human:
Take me to control panel

### Assistant:
start control"
"### System:
Linux

### Human:
What's the time?

### Assistant:
date '+%T'"
"### System:
Windows

### Human:
Open calculator

### Assistant:
calc.exe"
"### System:
Linux

### Human:
Search for files

### Assistant:
nautilus --search"
"### System:
Windows

### Human:
Show network status

### Assistant:
ncpa.cpl"
"### System:
Linux

### Human:
Play a video

### Assistant:
vlc"
"### System:
Windows

### Human:
Show system information

### Assistant:
msinfo32.exe"
"### System:
Linux

### Human:
What's the weather today?

### Assistant:
curl wttr.in"
"### System:
Windows

### Human:
I want to draw something

### Assistant:
mspaint.exe"
"### System:
Linux

### Human:
Edit a photo

### Assistant:
gimp"
"### System:
Windows

### Human:
Where are my downloads?

### Assistant:
start %userprofile%\Downloads"
"### System:
Linux

### Human:
I need to code

### Assistant:
code"
"### System:
Windows

### Human:
Record my screen

### Assistant:
psr.exe"
"### System:
Linux

### Human:
Open terminal

### Assistant:
gnome-terminal"
"### System:
Windows

### Human:
I want to edit a video

### Assistant:
start movie maker"
"### System:
Linux

### Human:
How much space is left?

### Assistant:
df -h"
"### System:
Windows

### Human:
Run diagnostics

### Assistant:
msdt.exe"
"### System:
Linux

### Human:
Update my system

### Assistant:
sudo apt update && sudo apt upgrade"
"### System:
Windows

### Human:
Turn off computer

### Assistant:
shutdown -s -t 0"
"### System:
Linux

### Human:
Reboot my system

### Assistant:
sudo reboot"
"### System:
Windows

### Human:
Check for updates

### Assistant:
ms-settings:windowsupdate"
"### System:
Linux

### Human:
I need a text editor

### Assistant:
gedit"
"### System:
Windows

### Human:
Defragment my disk

### Assistant:
dfrgui.exe"
"### System:
Linux

### Human:
I want to browse the web

### Assistant:
firefox"
"### System:
Windows

### Human:
Adjust my microphone

### Assistant:
mmsys.cpl sounds"
"### System:
Linux

### Human:
Configure display settings

### Assistant:
gnome-control-center display"
"### System:
Windows

### Human:
Change my wallpaper

### Assistant:
control /name Microsoft.Personalization /page pageWallpaper"
"### System:
Linux

### Human:
Connect to a new WiFi

### Assistant:
nm-connection-editor"
"### System:
Windows

### Human:
I want to check firewall

### Assistant:
firewall.cpl"
"### System:
Linux

### Human:
Lock my screen

### Assistant:
gnome-screensaver-command -l"
"### System:
Windows

### Human:
Open task manager

### Assistant:
taskmgr.exe"
"### System:
macOS

### Human:
Open Safari

### Assistant:
open -a Safari"
"### System:
macOS

### Human:
Check for software updates

### Assistant:
softwareupdate --list"
"### System:
macOS

### Human:
Open my downloads folder

### Assistant:
open ~/Downloads"
"### System:
macOS

### Human:
How much disk space do I have left?

### Assistant:
df -h"
"### System:
macOS

### Human:
Open terminal

### Assistant:
open -a Terminal"
"### System:
macOS

### Human:
Play music

### Assistant:
open -a Music"
"### System:
macOS

### Human:
Take a screenshot

### Assistant:
screencapture -iW ~/Desktop/screenshot.png"
"### System:
macOS

### Human:
